LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,0.36150841894061353,9.70376382404564,0.037254453580657966,0.9702821210383268
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,-0.10268071371969445,2.804041878908771,-0.03661882316808241,0.9707889348774985
Duration_log,~,recovery_outcome,1.0,-,-,-
Spending_CV,~,recovery_outcome,-0.025716785098746232,1.4623587967547287,-0.017585824461000554,0.985969265370995
gov_cap,~~,gov_cap,0.03110929803057695,0.8344131359860864,0.03728284789497659,0.9702594813814809
recovery_outcome,~~,recovery_outcome,0.11071660252544259,6.411348939327205,0.017268846786093618,0.9862221385596339
Duration_log,~~,Duration_log,0.0,6.410338466193348,0.0,1.0
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,1.2732236369797093e-19,0.8343627064958075,1.5259833967478282e-19,1.0
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.1992688630655349,0.05941601650399676,3.3537903546390866,0.0007971273264728573
Spending_CV,~~,Spending_CV,0.1999690405778703,0.059119856534060496,3.382434469530224,0.0007184641680213488
